epoch,train_loss,val_loss,psnr,ssim,lpips
1,0.154796,0.123645,18.6623,0.7326,0.205
2,0.153769,0.129238,18.7225,0.7371,0.2007
3,0.149445,0.126506,18.7867,0.7394,0.202
4,0.148884,0.124011,18.9064,0.7449,0.1972
5,0.147415,0.125928,18.9229,0.7445,0.1989
6,0.141565,0.120456,18.9267,0.7495,0.1945
7,0.141032,0.122555,18.9948,0.7516,0.1903
8,0.136834,0.120963,19.0165,0.7523,0.1879
9,0.135563,0.113631,18.9837,0.7508,0.1826
10,0.131522,0.111757,19.0016,0.7533,0.1811
11,0.131512,0.110478,19.0191,0.7557,0.1801
12,0.13242,0.108644,19.0979,0.7535,0.1772
13,0.134113,0.110519,19.1177,0.7573,0.1781
14,0.132123,0.107241,19.1088,0.7575,0.1748
15,0.127559,0.111588,19.2587,0.7596,0.1761
16,0.12651,0.111503,19.2742,0.7616,0.1739
17,0.124783,0.107595,19.3495,0.7669,0.174
18,0.119917,0.112552,19.3981,0.7657,0.1715
19,0.116417,0.110256,19.4772,0.7695,0.1701
20,0.115474,0.112359,19.4843,0.774,0.1717
21,0.111604,0.109908,19.5236,0.7738,0.1667
22,0.114081,0.104846,19.5055,0.7747,0.167
23,0.114987,0.104205,19.5106,0.7744,0.164
24,0.114917,0.102453,19.5158,0.7768,0.158
25,0.114287,0.101796,19.5178,0.7766,0.155
26,0.111478,0.096219,19.5225,0.7781,0.1568
27,0.110464,0.09435,19.5111,0.7782,0.1523
28,0.109909,0.092611,19.5019,0.7773,0.1518
29,0.107783,0.094313,19.4627,0.7779,0.1529
30,0.104008,0.093391,19.541,0.7753,0.1526
31,0.10622,0.093776,19.5463,0.7774,0.1519
32,0.100198,0.09194,19.6074,0.7772,0.1525
33,0.09833,0.094346,19.6155,0.7816,0.1551
34,0.098082,0.092579,19.7098,0.7802,0.1512
35,0.103304,0.095498,19.7281,0.7846,0.153
36,0.099851,0.093116,19.7538,0.7848,0.1498
37,0.10356,0.097169,19.833,0.7851,0.1476
38,0.101693,0.098344,19.7584,0.7871,0.1458
39,0.101856,0.094141,19.7539,0.7915,0.1439
40,0.103338,0.094988,19.7195,0.7927,0.144
41,0.102406,0.096162,19.7911,0.7895,0.1414
42,0.096366,0.091359,19.689,0.7905,0.143
43,0.094923,0.092326,19.723,0.7906,0.143
44,0.097695,0.089512,19.7518,0.7892,0.1405
45,0.096862,0.088601,19.7441,0.7916,0.1403
46,0.094707,0.087466,19.8025,0.7889,0.1451
47,0.092422,0.085276,19.81,0.7913,0.1427
48,0.09343,0.090111,19.8162,0.7914,0.1447
49,0.095775,0.088904,19.8959,0.7938,0.1427
50,0.097651,0.08776,19.9313,0.7938,0.1425
51,0.094947,0.092257,19.9403,0.7943,0.1444
52,0.097569,0.089092,19.9917,0.7952,0.1425
53,0.095163,0.095215,20.0333,0.7965,0.1403
54,0.09213,0.094102,20.1129,0.8004,0.135
55,0.090816,0.092232,20.0769,0.8032,0.1341
56,0.085366,0.090614,20.0547,0.8015,0.1351
57,0.08787,0.090353,20.0477,0.8023,0.1341
58,0.088752,0.093181,19.9707,0.8035,0.1332
59,0.084088,0.091148,20.0165,0.8028,0.1357
60,0.087809,0.0873,19.9407,0.8017,0.1371
61,0.090341,0.086489,20.0349,0.8034,0.1346
62,0.086132,0.083655,20.057,0.8037,0.1384
63,0.089966,0.082091,20.0117,0.8,0.1383
64,0.088741,0.082867,20.0875,0.7997,0.1387
65,0.086994,0.0865,20.1487,0.8027,0.134
66,0.084445,0.082778,20.2029,0.8024,0.1364
67,0.083204,0.083061,20.2241,0.7998,0.1348
68,0.082321,0.083627,20.256,0.8021,0.1304
69,0.081531,0.084487,20.186,0.8019,0.1288
70,0.082223,0.089851,20.2182,0.805,0.1275
71,0.083764,0.087391,20.282,0.8039,0.129
72,0.08043,0.089984,20.188,0.8049,0.1261
73,0.084576,0.085229,20.1981,0.8075,0.1259
74,0.084363,0.083813,20.1788,0.8058,0.1289
75,0.084153,0.085405,20.1536,0.8089,0.1273
76,0.080871,0.08347,20.0856,0.807,0.1304
77,0.083346,0.079534,20.0702,0.8069,0.1293
78,0.079604,0.078,20.0811,0.8083,0.1311
79,0.081791,0.07897,20.0786,0.8056,0.1283
80,0.077602,0.078,20.1303,0.805,0.1299
81,0.078395,0.078,20.1468,0.8052,0.1305
82,0.077467,0.078,20.183,0.8033,0.1273
