epoch,train_loss,val_loss,psnr,ssim,lpips
1,0.15287,0.12358,18.6588,0.7317,0.2035
2,0.150544,0.125531,18.7179,0.735,0.1987
3,0.146832,0.123004,18.7828,0.7367,0.1987
4,0.145568,0.120877,18.8831,0.7413,0.1942
5,0.144195,0.121527,18.9329,0.7413,0.1956
6,0.140714,0.118306,18.9812,0.7461,0.1923
7,0.14013,0.119584,19.0688,0.7488,0.1895
8,0.13744,0.118952,19.1331,0.7506,0.1883
9,0.136042,0.115161,19.1674,0.7506,0.1847
10,0.132834,0.114411,19.2265,0.7539,0.1839
11,0.131515,0.11387,19.2802,0.7569,0.1832
12,0.130557,0.112816,19.3608,0.756,0.1806
13,0.130078,0.113603,19.4016,0.7598,0.1806
14,0.127869,0.111235,19.4198,0.7602,0.1769
15,0.124655,0.112929,19.5186,0.7619,0.1767
16,0.123737,0.111961,19.5402,0.7634,0.1737
17,0.122807,0.108759,19.593,0.7673,0.1728
18,0.120396,0.110557,19.6323,0.766,0.17
19,0.118723,0.108385,19.6916,0.7687,0.1686
20,0.118235,0.10888,19.7168,0.7721,0.1701
21,0.115859,0.107063,19.7656,0.772,0.1666
22,0.116518,0.104052,19.7891,0.773,0.1677
23,0.116028,0.103787,19.8301,0.7733,0.1663
24,0.114851,0.103109,19.8742,0.7762,0.1623
25,0.113399,0.103178,19.9171,0.7771,0.1605
26,0.110987,0.100516,19.9595,0.7795,0.1622
27,0.10987,0.099872,19.9886,0.7809,0.1583
28,0.109369,0.099138,20.0126,0.7814,0.1573
29,0.108328,0.100103,20.0128,0.7828,0.1572
30,0.106556,0.099309,20.0695,0.7814,0.1556
31,0.107952,0.098962,20.0798,0.7835,0.1538
32,0.104712,0.097106,20.1156,0.7834,0.1531
33,0.103347,0.097439,20.1199,0.7867,0.1543
34,0.102467,0.095316,20.1711,0.7851,0.1507
35,0.104205,0.095822,20.1832,0.788,0.1521
36,0.101136,0.093437,20.2037,0.7875,0.1498
37,0.101942,0.094851,20.259,0.7871,0.1486
38,0.099983,0.094885,20.2362,0.7881,0.1478
39,0.099462,0.09216,20.2568,0.7915,0.1468
40,0.100032,0.092533,20.2646,0.7924,0.1473
41,0.099627,0.093302,20.3315,0.7901,0.1452
42,0.096652,0.090847,20.3023,0.7915,0.1461
43,0.096116,0.091685,20.3437,0.7922,0.1451
44,0.097634,0.090346,20.3765,0.7918,0.1419
